"","dates","a1.x","a1.y","a10.x","a10.y","a14.x","a14.y","a15.x","a15.y","a17.x","a17.y"
"24",2009-12-03 10:00:00,109.851281392039,731.810881420039,NA,NA,95.4788062170264,713.16141036991,48.1019297620514,723.058708759956,242.41686994402,790.342235070653
"25",2009-12-03 12:00:00,14.6704852000112,720.477594070137,364.208642475016,520.13090597,36.5816516550258,730.852400740609,0,728.100860420614,30.9006279330351,721.19551721029
"26",2009-12-03 14:00:00,118.757254422002,673.563960580155,NA,NA,NA,NA,112.407830039039,646.639356359839,123.81596591603,661.853340080008
"27",2009-12-03 16:00:00,446.122475405049,545.24253396038,NA,NA,281.389129637042,571.565365610644,432.818413678033,553.874476999976,294.391415702994,567.08917532023
"28",2009-12-03 18:00:00,573.629371314018,508.027064249851,444.713667867996,432.093250039965,494.851256732014,350.310675419867,570.069625219039,493.729588010348,NA,NA
"29",2009-12-03 20:00:00,576.994798699045,513.144380260259,440.342678404006,435.412338459864,444.393428537995,430.311316880397,573.329968476028,504.3062907001,431.252090367023,434.419657530263
"30",2009-12-03 22:00:00,663.403331504029,527.109794130549,508.25825849903,306.226581480354,483.570600193052,330.437952999957,658.958154940046,513.404568600468,475.521801070019,339.28058878053
"31",2009-12-04 00:00:00,639.929035908019,180.67471060995,NA,NA,541.107659388043,188.553291889839,643.757454948034,207.806657660753,538.915700697049,186.330032970756
"32",2009-12-04 02:00:00,610.050666887022,175.840025850572,NA,NA,614.167444687046,174.872549230233,617.509610645997,171.767660620622,615.257400676026,167.706118590198
"33",2009-12-04 04:00:00,652.703583146038,153.316031180322,652.457975410041,157.483427700587,647.191882979998,166.519806460477,NA,NA,641.847164433042,165.4957053205
"34",2009-12-04 06:00:00,658.908623141004,167.440496480092,649.232635891007,151.362912440673,647.116304652009,157.829693950713,650.270151044999,157.087262489833,647.118345202995,158.74327792041
"35",2009-12-04 08:00:00,793.799594405049,172.108838700689,796.438868628,169.183961629868,809.133469027001,176.720970789902,762.635227954015,166.629351550713,761.610257822031,175.633956599981
"36",2009-12-04 10:00:00,725.487606929033,175.502625680529,NA,NA,728.445918462996,173.902861770242,721.750786386023,170.864952620119,735.269897968043,166.266832650639
"37",2009-12-04 12:00:00,725.430404822051,175.034767520614,754.716615367041,170.368194410577,743.514987047005,176.298142990097,722.360065240995,185.83760580048,735.525689967035,166.667362459935
"38",2009-12-04 14:00:00,NA,NA,903.438545643003,95.9172356305644,NA,NA,950.365089059051,141.239080159925,912.216479633003,116.799478430301
"39",2009-12-04 16:00:00,911.762083520996,116.455111380666,900.022896121023,93.5181291103363,907.915561550006,133.922123960219,909.202825984044,125.786030900665,914.228333981009,134.721725470386
